sku,product_name,brand,category_l1,category_l2,storage_type,width_cm,height_cm,depth_cm,facing_count,required_width_cm,reason_code,reason,severity,suggested_action,suggested_storage_type,storage_fix_reason,storage_changed
MRK.01493,Damla Returnable Carboy Water 19 L,Damla,Beverages,Water,AMBIENT,28,48,28.0,1,31,product_too_tall,Ürün yüksekliği (48 cm) uygun AMBIENT raf yüksekliğini aşıyor.,high,Raf yüksekliğini artır veya ürünü daha yüksek modüle taşı.,AMBIENT,ambient_beverage_category,False
MRK.04609,Sütaş Non-Clotted Yogurt 1 kg,Sütaş,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,8,22,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.05763,Ömer Beyin Çiftliği Organic Eggs 53 - 62 g 10-pack,Ömer,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.01480,Sütaş Semi-Skimmed Milk 1 L,Sütaş,Dairy / Chilled / Eggs,Milk,CHILLED,8,22,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_uht_milk_like,True
MRK.01372,CP M Eggs Pack of 6 (53-62 g),CP,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.02117,İçim Natural Yogurt 500 g,İçim,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
Z315HP,Ömer Beyin Çiftliği L Size White Eggs 15-pack,Ömer,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.06776,İçim Semi-Skimmed Milk 1 L,İçim,Dairy / Chilled / Eggs,Milk,CHILLED,8,22,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_uht_milk_like,True
MRK.03460,Milagro Iceberg Lettuce 1,Milagro,Produce,Vegetables,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_leafy_herb_produce,False
EMERAS,Gedik Piliç Tenderloin 750 g,Gedik,Meat / Seafood,Poultry,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_meat_seafood,False
MRK.06394,Milagro Orange 1 kg,Milagro,Produce,Fruit,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_crate_produce,True
YS0964,Activia Bowl Blueberry & Oat & Chia 150 g,Activia,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.06913,Milagro Tomato 700 g,Milagro,Produce,Vegetables,FROZEN,10,18,8.0,1,11,no_matching_storage_shelf,FROZEN storage için uygun raf/dolap yok.,high,FROZEN ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,FROZEN,frozen_keyword_or_algida,False
MRK.00149,Algida Nogger Sandwich Chocolate Caramel 145 ml,Algida,Frozen,Ice Cream / Desserts,FROZEN,8,16,2.5,1,9,no_matching_storage_shelf,FROZEN storage için uygun raf/dolap yok.,high,FROZEN ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,FROZEN,frozen_keyword_or_algida,False
3O9BNA,Sütaş Buttermilk 1 L,Sütaş,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,8,28,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
K13L17,Sütaş Kashar Cheese 400 g,Sütaş,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
YS2446,Raya Free-Range Eggs 8 pcs 53-62 g,Raya,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
YS0119,Coşkun Organic Eggs Medium Size 10 pcs 53-63 g,Coşkun,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.04667,Dill 50 g,Dill,Produce,Vegetables,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_leafy_herb_produce,False
MRK.01503,Ülker Coco Star Coconut Bar 25 g,Ülker,Snacks,Confectionary,CHILLED,8,16,2.5,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_snacks_category,True
MRK.06768,İçim Chef Cooking Cream 200 ml,İçim,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.03465,Milagro Mint 50 g,Milagro,Produce,Prepared F&V / Fresh Herbs,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_leafy_herb_produce,False
5DLI62,Danone Creamsauce 200 ml,Danone,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.07279,Keskinoğlu Cubed Chicken Fillet 500 g,Keskinoğlu,Meat / Seafood,Poultry,CHILLED,8,12,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_meat_seafood,False
MRK.05160,Milagro Spring Onion 250 g,Milagro,Produce,Vegetables,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_leafy_herb_produce,False
MRK.07494,Simply Fresh Sikma Portakal Suyu 750 ml,Simply,Produce,Fruit,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_crate_produce,True
MRK.01168,Sütaş Labneh Cheese 200 g,Sütaş,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.02451,La Lorraine Spinach & Cheese Roll Pastry 75 g,La,Ready To Consume,Food,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,FROZEN,la_lorraine_frozen_rule,True
MRK.01184,Lay's Baked Yogurt Seasonal Greens Potato Snack Party Size 134 g,Lay's,Snacks,Salty Snacks,CHILLED,16,24,5.0,1,18,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_snacks_category,True
P31810,Sushida California Roll Sushi 205 g,Sushida,Ready To Consume,Food,CHILLED,16,5,12.0,1,18,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_ready_to_consume,False
MRK.04792,Coşkun Large Eggs 15 pack,Coşkun,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.02813,Lay's Yogurt Seasonal Greens Potato Chips Super Size 125 g,Lay's,Snacks,Salty Snacks,CHILLED,16,24,5.0,1,18,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_snacks_category,True
MRK.05162,Özerhisar Glass Bottle Ayran 1 L,Özerhisar,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,8,28,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.02438,Namet Minced Beef 400 g,Namet,Meat / Seafood,Meat,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_meat_seafood,False
YS1155,Taciroğlu Çeçil Cheese 180 g,Taciroğlu,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
3H4B4O,Sütaş Strained Cheese 250 g,Sütaş,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.04172,Bahçıvan Grated Mozzarella Cheese 200 g,Bahçıvan,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
I22G50,Sütaş Churn Butter 225 g,Sütaş,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.02422,Bizimsarikoy Organic Chicken Eggs 53-62 g 10 pcs,Bizimsarikoy,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.05816,Coskun M Eggs 20 pcs,Coskun,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
Y9SC8F,SuperFresh Chopped Spinach 450 g,SuperFresh,Frozen,Frozen Fruit / Vegetables / Potato,FROZEN,10,18,8.0,1,11,no_matching_storage_shelf,FROZEN storage için uygun raf/dolap yok.,high,FROZEN ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,FROZEN,frozen_keyword_or_algida,False
MRK.05862,Sütaş Whole Milk 3.5% Fat 1 L,Sütaş,Dairy / Chilled / Eggs,Milk,CHILLED,8,22,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_uht_milk_like,True
RU777T,Algida Cornetto Disc Vanilla & Caramel 130 ml,Algida,Frozen,Ice Cream / Desserts,FROZEN,10,18,8.0,1,11,no_matching_storage_shelf,FROZEN storage için uygun raf/dolap yok.,high,FROZEN ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,FROZEN,frozen_keyword_or_algida,False
YS0966,Activia Bowl Banana & Oatmeal & Hazelnut 150 g,Activia,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
YS3723,Algida Spoonful 770 ml,Algida,Frozen,Ice Cream / Desserts,FROZEN,8,14,6.0,1,9,no_matching_storage_shelf,FROZEN storage için uygun raf/dolap yok.,high,FROZEN ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,FROZEN,frozen_keyword_or_algida,False
MRK.02808,Çerezza Cinema Cheese Onion Corn Snack Super Size 117 g,Çerezza,Snacks,Salty Snacks,CHILLED,16,24,5.0,1,18,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_snacks_category,True
MRK.05524,İçim Buttermilk 1 L,İçim,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,8,28,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
YS3406,Activia Shot Strawberry & Banana 80 ml,Activia,Dairy / Chilled / Eggs,Milk,CHILLED,6,16,6.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.06639,Simply Fresh Green Detox 330 ml,Simply,Produce,Fruit,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_crate_produce,True
YS0085,Sütaş Butter 750 g,Sütaş,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.04183,SuperFresh Mini Baguette 300 g,SuperFresh,Frozen,Frozen Convenience / Bakery,FROZEN,10,18,8.0,1,11,no_matching_storage_shelf,FROZEN storage için uygun raf/dolap yok.,high,FROZEN ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,FROZEN,frozen_keyword_or_algida,False
MRK.03931,Pınar Open and Finish Turkey Salami 75 g,Pınar,Dairy / Chilled / Eggs,Deli / Snacking,CHILLED,8,12,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.02524,Ruffles Cheese and Onion Potato Chips Super Size 125g,Ruffles,Snacks,Salty Snacks,CHILLED,16,24,5.0,1,18,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_snacks_category,True
MRK.03100,Activia Shot Plain 80 ml,Activia,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,16,6.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
YS2243,Activia Feel Good Probiotic Bowl Pineapple & Oatmeal & Coconut 150 g,Activia,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.05521,İçim Rahat Lactose-Free Yogurt 750 g,İçim,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.05820,Activia Shot+ Black Elderberry and Blueberry 80 ml,Activia,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,16,6.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.06771,İçim 3% Fat Milk 1 L,İçim,Dairy / Chilled / Eggs,Milk,CHILLED,8,22,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_uht_milk_like,True
YS0965,Activia Bowl Raspberry & Oatmeal & Walnut 150 g,Activia,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.07459,Altınkılıç Lactose-Free Kefir 1 L,Altınkılıç,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,8,28,8.0,1,9,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
MRK.04685,Milagro Pickled Broccoli 400 g,Milagro,Produce,Vegetables,CHILLED,34,24,24.0,1,37,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_produce_default,True
YS2417,Keskinoğlu Baby Chicken Grill 500 g,Keskinoğlu,Meat / Seafood,Poultry,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_meat_seafood,False
YS1159,Taciroğlu String Cheese 180 g,Taciroğlu,Dairy / Chilled / Eggs,Dairy / Eggs,CHILLED,6,14,5.0,1,7,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
WH0077,Ülker Altınbaşak Yogurt Flavored & Seasonal Greens Cereal Chips 50 g,Ülker,Snacks,Salty Snacks,CHILLED,16,24,5.0,1,18,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,AMBIENT,ambient_snacks_category,True
YS3710,Algida Cornetto Disc Double Pistachio White Chocolate 130 ml,Algida,Frozen,Ice Cream / Desserts,FROZEN,8,16,2.5,1,9,no_matching_storage_shelf,FROZEN storage için uygun raf/dolap yok.,high,FROZEN ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,FROZEN,frozen_keyword_or_algida,False
8OTLU6,Polonez Smoked Turkey Meat 50 g,Polonez,Dairy / Chilled / Eggs,Deli / Snacking,CHILLED,10,18,8.0,1,11,no_matching_storage_shelf,CHILLED storage için uygun raf/dolap yok.,high,CHILLED ürünler için uygun zone/fixture kapasitesi oluştur. Algida ve dolapları dekor değil ürün fixture modülü yap.,CHILLED,chilled_dairy_category,False
